,1,best_score,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
13,,0.8549624757568092,,,,,,,,,,,,,"[{'clf': 'Linear SVM', 'auc': 0.768403743991905}, {'clf': 'RBF SVM', 'auc': 0.736908676954212}, {'clf': 'Gaussian Process', 'auc': 0.7841723585462518}, {'clf': 'Neural Net', 'auc': 0.7826966860612194}, {'clf': 'AdaBoost', 'auc': 0.7707226578969559}, {'clf': 'Naive Bayes', 'auc': 0.7405767771312928}, {'clf': 'Logistic Regression', 'auc': 0.7520026983725441}, {'clf': 'Ridge Classifier', 'auc': 0.7485032464794672}, {'clf': 'SGD Classifier', 'auc': 0.7266632937009866}, {'clf': 'Lars', 'auc': 0.7227422210979003}, {'clf': 'Linear Regression', 'auc': 0.8549624757568092}, {'clf': 'Ridge', 'auc': 0.8485538409646682}, {'clf': 'Orthogonal Matching Pursuit', 'auc': 0.8052112319757146}, {'clf': 'LassoLars CV', 'auc': 0.8483008685386626}, {'clf': 'LassoLars IC', 'auc': 0.8483008685386626}, {'clf': 'ARD Regression', 'auc': 0.8501559996627034}, {'clf': 'Bayesian Ridge', 'auc': 0.8508305927987183}, {'clf': 'Huber Regressor', 'auc': 0.7664221266548613}, {'clf': 'Theil Sen Regressor', 'auc': 0.8362425162323974}, {'clf': 'Poisson Regressor', 'auc': 0.8371700817944178}, {'clf': 'Tweedie Regressor', 'auc': 0.8504932962307108}]",,,
15,,0.8528543722067629,,,,,,,,,,,,,,,"[{'clf': 'Linear SVM', 'auc': 0.768403743991905}, {'clf': 'RBF SVM', 'auc': 0.7323973353571127}, {'clf': 'Gaussian Process', 'auc': 0.7841723585462518}, {'clf': 'Neural Net', 'auc': 0.7667594232228687}, {'clf': 'AdaBoost', 'auc': 0.7632599713297917}, {'clf': 'Naive Bayes', 'auc': 0.7455519015094022}, {'clf': 'Logistic Regression', 'auc': 0.7544902605615987}, {'clf': 'Ridge Classifier', 'auc': 0.7509908086685217}, {'clf': 'SGD Classifier', 'auc': 0.7213087106838688}, {'clf': 'Lars', 'auc': 0.5376507294038283}, {'clf': 'Linear Regression', 'auc': 0.8483008685386626}, {'clf': 'Ridge', 'auc': 0.8488068133906738}, {'clf': 'Orthogonal Matching Pursuit', 'auc': 0.8052112319757146}, {'clf': 'LassoLars CV', 'auc': 0.8528543722067629}, {'clf': 'LassoLars IC', 'auc': 0.8525170756387553}, {'clf': 'ARD Regression', 'auc': 0.8501559996627034}, {'clf': 'Bayesian Ridge', 'auc': 0.8511678893667257}, {'clf': 'Huber Regressor', 'auc': 0.7831183067712286}, {'clf': 'Theil Sen Regressor', 'auc': 0.8375073783624252}, {'clf': 'Poisson Regressor', 'auc': 0.8398684543384771}, {'clf': 'Tweedie Regressor', 'auc': 0.8485538409646682}]",
12,,0.8516316721477359,,,,,,,,,,,,"[{'clf': 'Linear SVM', 'auc': 0.768403743991905}, {'clf': 'RBF SVM', 'auc': 0.736908676954212}, {'clf': 'Gaussian Process', 'auc': 0.7926469348174383}, {'clf': 'Neural Net', 'auc': 0.7837085757652417}, {'clf': 'AdaBoost', 'auc': 0.7707226578969559}, {'clf': 'Naive Bayes', 'auc': 0.7271270764819968}, {'clf': 'Logistic Regression', 'auc': 0.7495151361834893}, {'clf': 'Ridge Classifier', 'auc': 0.7485032464794672}, {'clf': 'SGD Classifier', 'auc': 0.7559659330466313}, {'clf': 'Lars', 'auc': 0.48659246142170504}, {'clf': 'Linear Regression', 'auc': 0.8516316721477359}, {'clf': 'Ridge', 'auc': 0.8483851926806645}, {'clf': 'Orthogonal Matching Pursuit', 'auc': 0.8052112319757146}, {'clf': 'LassoLars CV', 'auc': 0.8483008685386626}, {'clf': 'LassoLars IC', 'auc': 0.8483008685386626}, {'clf': 'ARD Regression', 'auc': 0.8501559996627034}, {'clf': 'Bayesian Ridge', 'auc': 0.8506619445147146}, {'clf': 'Huber Regressor', 'auc': 0.8267138881861879}, {'clf': 'Theil Sen Regressor', 'auc': 0.8343030609663546}, {'clf': 'Poisson Regressor', 'auc': 0.8362425162323972}, {'clf': 'Tweedie Regressor', 'auc': 0.8504932962307109}]",,,,
10,,0.8512522135087276,,,,,,,,,,"[{'clf': 'Linear SVM', 'auc': 0.768403743991905}, {'clf': 'RBF SVM', 'auc': 0.7443713635213761}, {'clf': 'Gaussian Process', 'auc': 0.7926469348174383}, {'clf': 'Neural Net', 'auc': 0.7851842482502741}, {'clf': 'AdaBoost', 'auc': 0.7353486803271777}, {'clf': 'Naive Bayes', 'auc': 0.74454001180538}, {'clf': 'Logistic Regression', 'auc': 0.7495151361834893}, {'clf': 'Ridge Classifier', 'auc': 0.7495151361834893}, {'clf': 'SGD Classifier', 'auc': 0.7670123956488744}, {'clf': 'Lars', 'auc': 0.7463951429294207}, {'clf': 'Linear Regression', 'auc': 0.8483851926806645}, {'clf': 'Ridge', 'auc': 0.8483008685386625}, {'clf': 'Orthogonal Matching Pursuit', 'auc': 0.8052112319757146}, {'clf': 'LassoLars CV', 'auc': 0.8491441099586812}, {'clf': 'LassoLars IC', 'auc': 0.8512522135087276}, {'clf': 'ARD Regression', 'auc': 0.8501559996627034}, {'clf': 'Bayesian Ridge', 'auc': 0.8499030272366979}, {'clf': 'Huber Regressor', 'auc': 0.826545239902184}, {'clf': 'Theil Sen Regressor', 'auc': 0.8361581920903954}, {'clf': 'Poisson Regressor', 'auc': 0.8314360401382916}, {'clf': 'Tweedie Regressor', 'auc': 0.849228434100683}]",,,,,,
14,,0.8511678893667257,,,,,,,,,,,,,,"[{'clf': 'Linear SVM', 'auc': 0.768403743991905}, {'clf': 'RBF SVM', 'auc': 0.7249346487899485}, {'clf': 'Gaussian Process', 'auc': 0.7841723585462518}, {'clf': 'Neural Net', 'auc': 0.7861961379542964}, {'clf': 'AdaBoost', 'auc': 0.7632599713297917}, {'clf': 'Naive Bayes', 'auc': 0.7321022008601062}, {'clf': 'Logistic Regression', 'auc': 0.7544902605615987}, {'clf': 'Ridge Classifier', 'auc': 0.7509908086685217}, {'clf': 'SGD Classifier', 'auc': 0.7047390167805041}, {'clf': 'Lars', 'auc': 0.5815836073867948}, {'clf': 'Linear Regression', 'auc': 0.8483008685386626}, {'clf': 'Ridge', 'auc': 0.8488068133906738}, {'clf': 'Orthogonal Matching Pursuit', 'auc': 0.8052112319757146}, {'clf': 'LassoLars CV', 'auc': 0.8486381651066701}, {'clf': 'LassoLars IC', 'auc': 0.8490597858166793}, {'clf': 'ARD Regression', 'auc': 0.8501559996627034}, {'clf': 'Bayesian Ridge', 'auc': 0.8511678893667257}, {'clf': 'Huber Regressor', 'auc': 0.8008263765916181}, {'clf': 'Theil Sen Regressor', 'auc': 0.8364954886584028}, {'clf': 'Poisson Regressor', 'auc': 0.8387722404924529}, {'clf': 'Tweedie Regressor', 'auc': 0.8491441099586812}]",,
7,,0.8509992410827221,,,,,,,"[{'clf': 'Linear SVM', 'auc': 0.7659161818028501}, {'clf': 'RBF SVM', 'auc': 0.7393962391432667}, {'clf': 'Gaussian Process', 'auc': 0.7672232060038788}, {'clf': 'Neural Net', 'auc': 0.7901593726283836}, {'clf': 'AdaBoost', 'auc': 0.7522978328695505}, {'clf': 'Naive Bayes', 'auc': 0.74454001180538}, {'clf': 'Logistic Regression', 'auc': 0.76545239902184}, {'clf': 'Ridge Classifier', 'auc': 0.7604772746437306}, {'clf': 'SGD Classifier', 'auc': 0.7679399612108948}, {'clf': 'Lars', 'auc': 0.8494814065266886}, {'clf': 'Linear Regression', 'auc': 0.8494814065266886}, {'clf': 'Ridge', 'auc': 0.8494814065266886}, {'clf': 'Orthogonal Matching Pursuit', 'auc': 0.8052112319757146}, {'clf': 'LassoLars CV', 'auc': 0.8494814065266886}, {'clf': 'LassoLars IC', 'auc': 0.8494814065266886}, {'clf': 'ARD Regression', 'auc': 0.8509992410827221}, {'clf': 'Bayesian Ridge', 'auc': 0.8495657306686906}, {'clf': 'Huber Regressor', 'auc': 0.8213171430980689}, {'clf': 'Theil Sen Regressor', 'auc': 0.8387722404924529}, {'clf': 'Poisson Regressor', 'auc': 0.8212328189560671}, {'clf': 'Tweedie Regressor', 'auc': 0.8407116957584957}]",,,,,,,,,
8,,0.8503246479467071,,,,,,,,"[{'clf': 'Linear SVM', 'auc': 0.768403743991905}, {'clf': 'RBF SVM', 'auc': 0.7588329538746944}, {'clf': 'Gaussian Process', 'auc': 0.7841723585462518}, {'clf': 'Neural Net', 'auc': 0.7926469348174383}, {'clf': 'AdaBoost', 'auc': 0.7403238047052871}, {'clf': 'Naive Bayes', 'auc': 0.7470275739944345}, {'clf': 'Logistic Regression', 'auc': 0.7495151361834893}, {'clf': 'Ridge Classifier', 'auc': 0.7460156842904123}, {'clf': 'SGD Classifier', 'auc': 0.7575259296736656}, {'clf': 'Lars', 'auc': 0.8124631081878742}, {'clf': 'Linear Regression', 'auc': 0.8483851926806645}, {'clf': 'Ridge', 'auc': 0.8482165443966608}, {'clf': 'Orthogonal Matching Pursuit', 'auc': 0.8052112319757146}, {'clf': 'LassoLars CV', 'auc': 0.8488911375326755}, {'clf': 'LassoLars IC', 'auc': 0.8483851926806645}, {'clf': 'ARD Regression', 'auc': 0.8501559996627034}, {'clf': 'Bayesian Ridge', 'auc': 0.8503246479467071}, {'clf': 'Huber Regressor', 'auc': 0.8210641706720634}, {'clf': 'Theil Sen Regressor', 'auc': 0.827051184754195}, {'clf': 'Poisson Regressor', 'auc': 0.8290749641622397}, {'clf': 'Tweedie Regressor', 'auc': 0.8457711442786069}]",,,,,,,,
9,,0.8502403238047054,,,,,,,,,"[{'clf': 'Linear SVM', 'auc': 0.768403743991905}, {'clf': 'RBF SVM', 'auc': 0.750358377603508}, {'clf': 'Gaussian Process', 'auc': 0.7926469348174383}, {'clf': 'Neural Net', 'auc': 0.7926469348174383}, {'clf': 'AdaBoost', 'auc': 0.7353486803271777}, {'clf': 'Naive Bayes', 'auc': 0.7505270258875116}, {'clf': 'Logistic Regression', 'auc': 0.7495151361834893}, {'clf': 'Ridge Classifier', 'auc': 0.7495151361834893}, {'clf': 'SGD Classifier', 'auc': 0.7370773252382157}, {'clf': 'Lars', 'auc': 0.8122101357618686}, {'clf': 'Linear Regression', 'auc': 0.8483851926806645}, {'clf': 'Ridge', 'auc': 0.8482165443966608}, {'clf': 'Orthogonal Matching Pursuit', 'auc': 0.8052112319757146}, {'clf': 'LassoLars CV', 'auc': 0.8489754616746774}, {'clf': 'LassoLars IC', 'auc': 0.8484695168226664}, {'clf': 'ARD Regression', 'auc': 0.8501559996627034}, {'clf': 'Bayesian Ridge', 'auc': 0.8502403238047054}, {'clf': 'Huber Regressor', 'auc': 0.8017539421536386}, {'clf': 'Theil Sen Regressor', 'auc': 0.835314950670377}, {'clf': 'Poisson Regressor', 'auc': 0.8316890125642972}, {'clf': 'Tweedie Regressor', 'auc': 0.8458554684206088}]",,,,,,,
16,,0.8500716755207016,,,,,,,,,,,,,,,,"[{'clf': 'Linear SVM', 'auc': 0.7659161818028501}, {'clf': 'RBF SVM', 'auc': 0.7179357450037944}, {'clf': 'Gaussian Process', 'auc': 0.7767096719790876}, {'clf': 'Neural Net', 'auc': 0.7717345476009781}, {'clf': 'AdaBoost', 'auc': 0.7522978328695505}, {'clf': 'Naive Bayes', 'auc': 0.7455519015094022}, {'clf': 'Logistic Regression', 'auc': 0.7544902605615987}, {'clf': 'Ridge Classifier', 'auc': 0.7509908086685217}, {'clf': 'SGD Classifier', 'auc': 0.7307108525170756}, {'clf': 'Lars', 'auc': 0.6381229445990387}, {'clf': 'Linear Regression', 'auc': 0.8483008685386626}, {'clf': 'Ridge', 'auc': 0.8487224892486719}, {'clf': 'Orthogonal Matching Pursuit', 'auc': 0.8052112319757146}, {'clf': 'LassoLars CV', 'auc': 0.8483008685386626}, {'clf': 'LassoLars IC', 'auc': 0.8488068133906738}, {'clf': 'ARD Regression', 'auc': 0.8494814065266885}, {'clf': 'Bayesian Ridge', 'auc': 0.8500716755207016}, {'clf': 'Huber Regressor', 'auc': 0.7829496584872249}, {'clf': 'Theil Sen Regressor', 'auc': 0.8392781853444642}, {'clf': 'Poisson Regressor', 'auc': 0.8402900750484864}, {'clf': 'Tweedie Regressor', 'auc': 0.8464457374146218}]"
11,,0.8500716755207015,,,,,,,,,,,"[{'clf': 'Linear SVM', 'auc': 0.768403743991905}, {'clf': 'RBF SVM', 'auc': 0.736908676954212}, {'clf': 'Gaussian Process', 'auc': 0.7926469348174383}, {'clf': 'Neural Net', 'auc': 0.7876718104393289}, {'clf': 'AdaBoost', 'auc': 0.7353486803271777}, {'clf': 'Naive Bayes', 'auc': 0.748039463698457}, {'clf': 'Logistic Regression', 'auc': 0.7495151361834893}, {'clf': 'Ridge Classifier', 'auc': 0.7460156842904123}, {'clf': 'SGD Classifier', 'auc': 0.7331984147061305}, {'clf': 'Lars', 'auc': 0.4350282485875706}, {'clf': 'Linear Regression', 'auc': 0.8483008685386626}, {'clf': 'Ridge', 'auc': 0.8483851926806645}, {'clf': 'Orthogonal Matching Pursuit', 'auc': 0.8052112319757146}, {'clf': 'LassoLars CV', 'auc': 0.8478792478286534}, {'clf': 'LassoLars IC', 'auc': 0.848132220254659}, {'clf': 'ARD Regression', 'auc': 0.849818703094696}, {'clf': 'Bayesian Ridge', 'auc': 0.8499030272366979}, {'clf': 'Huber Regressor', 'auc': 0.8418079096045197}, {'clf': 'Theil Sen Regressor', 'auc': 0.8298338814402563}, {'clf': 'Poisson Regressor', 'auc': 0.8336284678303398}, {'clf': 'Tweedie Regressor', 'auc': 0.8500716755207015}]",,,,,
5,,0.8466143856986255,,,,,"[{'clf': 'Linear SVM', 'auc': 0.758453495235686}, {'clf': 'RBF SVM', 'auc': 0.7528459397925626}, {'clf': 'Gaussian Process', 'auc': 0.7672232060038788}, {'clf': 'Neural Net', 'auc': 0.7876718104393289}, {'clf': 'AdaBoost', 'auc': 0.7522978328695505}, {'clf': 'Naive Bayes', 'auc': 0.7594653849397083}, {'clf': 'Logistic Regression', 'auc': 0.74454001180538}, {'clf': 'Ridge Classifier', 'auc': 0.74454001180538}, {'clf': 'SGD Classifier', 'auc': 0.7335778733451387}, {'clf': 'Lars', 'auc': 0.8454338477105995}, {'clf': 'Linear Regression', 'auc': 0.8454338477105995}, {'clf': 'Ridge', 'auc': 0.8455181718526013}, {'clf': 'Orthogonal Matching Pursuit', 'auc': 0.8052112319757146}, {'clf': 'LassoLars CV', 'auc': 0.8454338477105995}, {'clf': 'LassoLars IC', 'auc': 0.8454338477105995}, {'clf': 'ARD Regression', 'auc': 0.8455181718526015}, {'clf': 'Bayesian Ridge', 'auc': 0.8466143856986255}, {'clf': 'Huber Regressor', 'auc': 0.7984653006155662}, {'clf': 'Theil Sen Regressor', 'auc': 0.8347246816763638}, {'clf': 'Poisson Regressor', 'auc': 0.8264609157601822}, {'clf': 'Tweedie Regressor', 'auc': 0.8424825027405346}]",,,,,,,,,,,
6,,0.8465300615566236,,,,,,"[{'clf': 'Linear SVM', 'auc': 0.7609410574247407}, {'clf': 'RBF SVM', 'auc': 0.7468589257104309}, {'clf': 'Gaussian Process', 'auc': 0.7672232060038788}, {'clf': 'Neural Net', 'auc': 0.7926469348174383}, {'clf': 'AdaBoost', 'auc': 0.7692469854119234}, {'clf': 'Naive Bayes', 'auc': 0.7569778227506535}, {'clf': 'Logistic Regression', 'auc': 0.74454001180538}, {'clf': 'Ridge Classifier', 'auc': 0.74454001180538}, {'clf': 'SGD Classifier', 'auc': 0.7509908086685217}, {'clf': 'Lars', 'auc': 0.8454338477105995}, {'clf': 'Linear Regression', 'auc': 0.8454338477105995}, {'clf': 'Ridge', 'auc': 0.8454338477105995}, {'clf': 'Orthogonal Matching Pursuit', 'auc': 0.8052112319757146}, {'clf': 'LassoLars CV', 'auc': 0.8454338477105995}, {'clf': 'LassoLars IC', 'auc': 0.8454338477105995}, {'clf': 'ARD Regression', 'auc': 0.8453495235685977}, {'clf': 'Bayesian Ridge', 'auc': 0.8465300615566236}, {'clf': 'Huber Regressor', 'auc': 0.7891053208533603}, {'clf': 'Theil Sen Regressor', 'auc': 0.8320263091323047}, {'clf': 'Poisson Regressor', 'auc': 0.8221603845180876}, {'clf': 'Tweedie Regressor', 'auc': 0.8420608820305253}]",,,,,,,,,,
2,,0.8305084745762712,,"[{'clf': 'Linear SVM', 'auc': 0.7460156842904123}, {'clf': 'RBF SVM', 'auc': 0.7393962391432667}, {'clf': 'Gaussian Process', 'auc': 0.7223627624588921}, {'clf': 'Neural Net', 'auc': 0.7403238047052871}, {'clf': 'AdaBoost', 'auc': 0.7268741040559912}, {'clf': 'Naive Bayes', 'auc': 0.7748545408550468}, {'clf': 'Logistic Regression', 'auc': 0.7186525002108104}, {'clf': 'Ridge Classifier', 'auc': 0.7186525002108104}, {'clf': 'SGD Classifier', 'auc': 0.7062146892655368}, {'clf': 'Lars', 'auc': 0.8305084745762712}, {'clf': 'Linear Regression', 'auc': 0.8305084745762712}, {'clf': 'Ridge', 'auc': 0.8303398262922675}, {'clf': 'Orthogonal Matching Pursuit', 'auc': 0.8052112319757146}, {'clf': 'LassoLars CV', 'auc': 0.8305084745762712}, {'clf': 'LassoLars IC', 'auc': 0.8305084745762712}, {'clf': 'ARD Regression', 'auc': 0.8305084745762712}, {'clf': 'Bayesian Ridge', 'auc': 0.8297495572982545}, {'clf': 'Huber Regressor', 'auc': 0.8265452399021841}, {'clf': 'Theil Sen Regressor', 'auc': 0.8020069145796442}, {'clf': 'Poisson Regressor', 'auc': 0.8197149844000338}, {'clf': 'Tweedie Regressor', 'auc': 0.8199679568260392}]",,,,,,,,,,,,,,
4,,0.8229193017961042,,,,"[{'clf': 'Linear SVM', 'auc': 0.7485032464794672}, {'clf': 'RBF SVM', 'auc': 0.740408128847289}, {'clf': 'Gaussian Process', 'auc': 0.7562610675436376}, {'clf': 'Neural Net', 'auc': 0.7707226578969559}, {'clf': 'AdaBoost', 'auc': 0.7413356944093094}, {'clf': 'Naive Bayes', 'auc': 0.7559659330466313}, {'clf': 'Logistic Regression', 'auc': 0.7151530483177333}, {'clf': 'Ridge Classifier', 'auc': 0.7176406105067881}, {'clf': 'SGD Classifier', 'auc': 0.6987520026983726}, {'clf': 'Lars', 'auc': 0.8222447086600895}, {'clf': 'Linear Regression', 'auc': 0.8222447086600895}, {'clf': 'Ridge', 'auc': 0.822413356944093}, {'clf': 'Orthogonal Matching Pursuit', 'auc': 0.8052112319757146}, {'clf': 'LassoLars CV', 'auc': 0.8222447086600895}, {'clf': 'LassoLars IC', 'auc': 0.8222447086600895}, {'clf': 'ARD Regression', 'auc': 0.8229193017961042}, {'clf': 'Bayesian Ridge', 'auc': 0.822497681086095}, {'clf': 'Huber Regressor', 'auc': 0.8112825701998482}, {'clf': 'Theil Sen Regressor', 'auc': 0.8061387975377351}, {'clf': 'Poisson Regressor', 'auc': 0.8041150181296904}, {'clf': 'Tweedie Regressor', 'auc': 0.810776625347837}]",,,,,,,,,,,,
3,,0.8229193017961042,,,"[{'clf': 'Linear SVM', 'auc': 0.7485032464794672}, {'clf': 'RBF SVM', 'auc': 0.7428956910363438}, {'clf': 'Gaussian Process', 'auc': 0.750274053461506}, {'clf': 'Neural Net', 'auc': 0.7632599713297917}, {'clf': 'AdaBoost', 'auc': 0.7413356944093094}, {'clf': 'Naive Bayes', 'auc': 0.7609410574247407}, {'clf': 'Logistic Regression', 'auc': 0.7176406105067881}, {'clf': 'Ridge Classifier', 'auc': 0.7176406105067881}, {'clf': 'SGD Classifier', 'auc': 0.7713550889619697}, {'clf': 'Lars', 'auc': 0.8222447086600895}, {'clf': 'Linear Regression', 'auc': 0.8222447086600895}, {'clf': 'Ridge', 'auc': 0.8224976810860949}, {'clf': 'Orthogonal Matching Pursuit', 'auc': 0.8052112319757146}, {'clf': 'LassoLars CV', 'auc': 0.8222447086600895}, {'clf': 'LassoLars IC', 'auc': 0.8222447086600895}, {'clf': 'ARD Regression', 'auc': 0.8229193017961042}, {'clf': 'Bayesian Ridge', 'auc': 0.8228349776541023}, {'clf': 'Huber Regressor', 'auc': 0.8083312252297833}, {'clf': 'Theil Sen Regressor', 'auc': 0.7967788177755291}, {'clf': 'Poisson Regressor', 'auc': 0.810270680495826}, {'clf': 'Tweedie Regressor', 'auc': 0.8148241841639262}]",,,,,,,,,,,,,
1,,0.8184501222700059,"[{'clf': 'Linear SVM', 'auc': 0.7460156842904123}, {'clf': 'RBF SVM', 'auc': 0.7633442954717936}, {'clf': 'Gaussian Process', 'auc': 0.7368243528122101}, {'clf': 'Neural Net', 'auc': 0.7522978328695505}, {'clf': 'AdaBoost', 'auc': 0.7074373893245638}, {'clf': 'Naive Bayes', 'auc': 0.7728307614470022}, {'clf': 'Logistic Regression', 'auc': 0.7286027489670293}, {'clf': 'Ridge Classifier', 'auc': 0.7286027489670293}, {'clf': 'SGD Classifier', 'auc': 0.7265789695589847}, {'clf': 'Lars', 'auc': 0.8176912049919891}, {'clf': 'Linear Regression', 'auc': 0.8176912049919891}, {'clf': 'Ridge', 'auc': 0.8176912049919891}, {'clf': 'Orthogonal Matching Pursuit', 'auc': 0.8052112319757146}, {'clf': 'LassoLars CV', 'auc': 0.8176912049919891}, {'clf': 'LassoLars IC', 'auc': 0.8176912049919891}, {'clf': 'ARD Regression', 'auc': 0.8184501222700059}, {'clf': 'Bayesian Ridge', 'auc': 0.8175225567079856}, {'clf': 'Huber Regressor', 'auc': 0.7177670967197909}, {'clf': 'Theil Sen Regressor', 'auc': 0.7926469348174382}, {'clf': 'Poisson Regressor', 'auc': 0.8084155493717852}, {'clf': 'Tweedie Regressor', 'auc': 0.8090901425078001}]",,,,,,,,,,,,,,,
0,"[{'clf': 'Linear SVM', 'auc': 0.7265789695589847}, {'clf': 'RBF SVM', 'auc': 0.7554178261236193}, {'clf': 'Gaussian Process', 'auc': 0.7029260477274644}, {'clf': 'Neural Net', 'auc': 0.7064254996205415}, {'clf': 'AdaBoost', 'auc': 0.7173876380807825}, {'clf': 'Naive Bayes', 'auc': 0.7039379374314867}, {'clf': 'Logistic Regression', 'auc': 0.7116535964246563}, {'clf': 'Ridge Classifier', 'auc': 0.7116535964246563}, {'clf': 'SGD Classifier', 'auc': 0.6753520532928576}, {'clf': 'Lars', 'auc': 0.8052112319757146}, {'clf': 'Linear Regression', 'auc': 0.8052112319757146}, {'clf': 'Ridge', 'auc': 0.8052112319757146}, {'clf': 'Orthogonal Matching Pursuit', 'auc': 0.8052112319757146}, {'clf': 'LassoLars CV', 'auc': 0.8052112319757146}, {'clf': 'LassoLars IC', 'auc': 0.8052112319757146}, {'clf': 'ARD Regression', 'auc': 0.8052112319757146}, {'clf': 'Bayesian Ridge', 'auc': 0.8052112319757146}, {'clf': 'Huber Regressor', 'auc': 0.19478876802428535}, {'clf': 'Theil Sen Regressor', 'auc': 0.8052112319757146}, {'clf': 'Poisson Regressor', 'auc': 0.8052112319757146}, {'clf': 'Tweedie Regressor', 'auc': 0.8052112319757146}]",0.8052112319757146,,,,,,,,,,,,,,,,
